#23456123456789ABCD123456789ABCD123456789ABCD123456789ABCD123456789ABCD123456789ABCDE123456789A123456789A1234567891234
  104 Y2N          CRP          Y            YN                                       1.30e-14  0.00e+00  0.00e+00  46
  105 C2S          CRP          CS           C                                        1.95e-14  0.00e+00  0.00e+00  46
  106 CYS          CRP          YS           C                                        9.75e-15  0.00e+00  0.00e+00  46
  107 CYS          CRP          CS           Y                                        9.75e-15  0.00e+00  0.00e+00  46
  108 Y2S          CRP          YS           Y                                        1.95e-14  0.00e+00  0.00e+00  46
  109 C3           CRP          C2           C                                        1.46e-14  0.00e+00  0.00e+00  46
  110 C2Y          CRP          CY           C                                        9.73e-15  0.00e+00  0.00e+00  46
  111 C2Y          CRP          C2           Y                                        4.87e-15  0.00e+00  0.00e+00  46
  112 CY2          CRP          Y2           C                                        4.87e-15  0.00e+00  0.00e+00  46
  113 CY2          CRP          CY           Y                                        9.73e-15  0.00e+00  0.00e+00  46
  114 CCO          CRP          C2           O                                        9.75e-15  0.00e+00  0.00e+00  46
  115 YCO          CRP          CY           O                                        9.75e-15  0.00e+00  0.00e+00  46
  116 CYO          CRP          CY           O                                        9.75e-15  0.00e+00  0.00e+00  46
  117 YYO          CRP          Y2           O                                        9.75e-15  0.00e+00  0.00e+00  46
  118 CCZ          CRP          C2           Z                                        9.75e-15  0.00e+00  0.00e+00  46
  119 YCZ          CRP          CY           Z                                        9.75e-15  0.00e+00  0.00e+00  46
  120 CYZ          CRP          CY           Z                                        9.75e-15  0.00e+00  0.00e+00  46
  121 YYZ          CRP          Y2           Z                                        9.75e-15  0.00e+00  0.00e+00  46
  122 CCO          CRP          CO           C                                        9.75e-15  0.00e+00  0.00e+00  46
  123 YCO          CRP          YO           C                                        4.87e-15  0.00e+00  0.00e+00  46
  124 YCO          CRP          CO           Y                                        4.87e-15  0.00e+00  0.00e+00  46
  125 CYO          CRP          YO           C                                        4.87e-15  0.00e+00  0.00e+00  46
  126 CYO          CRP          CO           Y                                        4.87e-15  0.00e+00  0.00e+00  46
  127 YYO          CRP          YO           Y                                        9.75e-15  0.00e+00  0.00e+00  46
  128 CCZ          CRP          CZ           C                                        9.75e-15  0.00e+00  0.00e+00  46
  129 YCZ          CRP          YZ           C                                        4.87e-15  0.00e+00  0.00e+00  46
  130 YCZ          CRP          CZ           Y                                        4.87e-15  0.00e+00  0.00e+00  46
  131 CYZ          CRP          YZ           C                                        4.87e-15  0.00e+00  0.00e+00  46
  132 CYZ          CRP          CZ           Y                                        4.87e-15  0.00e+00  0.00e+00  46
  133 YYZ          CRP          YZ           Y                                        9.75e-15  0.00e+00  0.00e+00  46
  134 CCP          CRP          C2           P                                        9.75e-15  0.00e+00  0.00e+00  46
  135 YCP          CRP          CY           P                                        9.75e-15  0.00e+00  0.00e+00  46
  136 CYP          CRP          CY           P                                        9.75e-15  0.00e+00  0.00e+00  46
  137 YYP          CRP          Y2           P                                        9.75e-15  0.00e+00  0.00e+00  46
  138 CCP          CRP          CP           C                                        9.75e-15  0.00e+00  0.00e+00  46
  139 YCP          CRP          YP           C                                        4.87e-15  0.00e+00  0.00e+00  46
  140 YCP          CRP          CP           Y                                        4.87e-15  0.00e+00  0.00e+00  46
  141 CYP          CRP          YP           C                                        4.87e-15  0.00e+00  0.00e+00  46
  142 CYP          CRP          CP           Y                                        4.87e-15  0.00e+00  0.00e+00  46
  143 YYP          CRP          YP           Y                                        9.75e-15  0.00e+00  0.00e+00  46
  144 CH2          CRP          CH2+         E                                        6.50e-15  0.00e+00  0.00e+00  46
  145 YH2          CRP          YH2+         E                                        6.50e-15  0.00e+00  0.00e+00  46
  146 CO2          CRP          CO           O                                        2.22e-14  0.00e+00  0.00e+00  46
  147 YO2          CRP          YO           O                                        2.22e-14  0.00e+00  0.00e+00  46
  148 COZ          CRP          CZ           O                                        1.11e-14  0.00e+00  0.00e+00  46
  149 YOZ          CRP          YZ           O                                        1.11e-14  0.00e+00  0.00e+00  46
  150 COZ          CRP          CO           Z                                        1.11e-14  0.00e+00  0.00e+00  46
  151 YOZ          CRP          YO           Z                                        1.11e-14  0.00e+00  0.00e+00  46
  152 CZ2          CRP          CZ           Z                                        2.22e-14  0.00e+00  0.00e+00  46
  153 YZ2          CRP          YZ           Z                                        2.22e-14  0.00e+00  0.00e+00  46
  154 H2O          CRP          OH           H                                        1.26e-14  0.00e+00  0.00e+00  46
  155 H2Z          CRP          ZH           H                                        1.26e-14  0.00e+00  0.00e+00  46
  156 H2S          CRP          H2           S                                        6.69e-14  0.00e+00  0.00e+00  46
  157 H2S          CRP          H2S+         E                                        2.21e-14  0.00e+00  0.00e+00  46
  158 HCN          CRP          CN           H                                        4.06e-14  0.00e+00  0.00e+00  46
  159 HYN          CRP          YN           H                                        4.06e-14  0.00e+00  0.00e+00  46
  160 HCO          CRP          CO           H                                        5.47e-15  0.00e+00  0.00e+00  46
  161 HYO          CRP          YO           H                                        5.47e-15  0.00e+00  0.00e+00  46
  162 HCZ          CRP          CZ           H                                        5.47e-15  0.00e+00  0.00e+00  46
  163 HYZ          CRP          YZ           H                                        5.47e-15  0.00e+00  0.00e+00  46
  164 HCO          CRP          HCO+         E                                        1.52e-14  0.00e+00  0.00e+00  46
  165 HYO          CRP          HYO+         E                                        1.52e-14  0.00e+00  0.00e+00  46
  166 HCZ          CRP          HCZ+         E                                        1.52e-14  0.00e+00  0.00e+00  46
  167 HYZ          CRP          HYZ+         E                                        1.52e-14  0.00e+00  0.00e+00  46
  168 HCP          CRP          CP           H                                        1.95e-14  0.00e+00  0.00e+00  46
  169 HYP          CRP          YP           H                                        1.95e-14  0.00e+00  0.00e+00  46
  170 HCS          CRP          HCS+         E                                        1.95e-14  0.00e+00  0.00e+00  46
  171 HYS          CRP          HYS+         E                                        1.95e-14  0.00e+00  0.00e+00  46
  172 HCSi         CRP          CH           Si                                       1.95e-14  0.00e+00  0.00e+00  46
  173 HYSi         CRP          YH           Si                                       1.95e-14  0.00e+00  0.00e+00  46
  174 HNC          CRP          CN           H                                        3.90e-14  0.00e+00  0.00e+00  46
  175 HNY          CRP          YN           H                                        3.90e-14  0.00e+00  0.00e+00  46
  176 HNO          CRP          HNO+         E                                        1.30e-14  0.00e+00  0.00e+00  46
  177 HNZ          CRP          HNZ+         E                                        1.30e-14  0.00e+00  0.00e+00  46
  178 HNSi         CRP          SiN          H                                        1.95e-14  0.00e+00  0.00e+00  46
  179 HPO          CRP          PO           H                                        1.95e-14  0.00e+00  0.00e+00  46
  180 HPZ          CRP          PZ           H                                        1.95e-14  0.00e+00  0.00e+00  46
  181 HS2          CRP          HS           S                                        1.95e-14  0.00e+00  0.00e+00  46
  182 N2O          CRP          NO           N                                        1.95e-14  0.00e+00  0.00e+00  46
  183 N2Z          CRP          NZ           N                                        1.95e-14  0.00e+00  0.00e+00  46
  184 NaOH         CRP          Na           OH                                       1.95e-14  0.00e+00  0.00e+00  46
  185 NaZH         CRP          Na           ZH                                       1.95e-14  0.00e+00  0.00e+00  46
  186 NH2          CRP          NH           H                                        1.04e-15  0.00e+00  0.00e+00  46
  187 NH2          CRP          NH2+         E                                        8.45e-15  0.00e+00  0.00e+00  46
  188 NO2          CRP          NO           O                                        1.95e-14  0.00e+00  0.00e+00  46
  189 NOZ          CRP          NZ           O                                        9.75e-15  0.00e+00  0.00e+00  46
  190 NOZ          CRP          NO           Z                                        9.75e-15  0.00e+00  0.00e+00  46
  191 NZ2          CRP          NZ           Z                                        1.95e-14  0.00e+00  0.00e+00  46
  192 O2H          CRP          O            OH                                       9.75e-15  0.00e+00  0.00e+00  46
  193 OZH          CRP          Z            OH                                       4.87e-15  0.00e+00  0.00e+00  46
  194 OZH          CRP          O            ZH                                       4.87e-15  0.00e+00  0.00e+00  46
  195 Z2H          CRP          Z            ZH                                       9.75e-15  0.00e+00  0.00e+00  46
  196 O2H          CRP          O2           H                                        9.75e-15  0.00e+00  0.00e+00  46
  197 OZH          CRP          OZ           H                                        9.75e-15  0.00e+00  0.00e+00  46
  198 Z2H          CRP          Z2           H                                        9.75e-15  0.00e+00  0.00e+00  46
  199 OCN          CRP          CN           O                                        1.95e-14  0.00e+00  0.00e+00  46
  200 OYN          CRP          YN           O                                        1.95e-14  0.00e+00  0.00e+00  46
  201 ZCN          CRP          CN           Z                                        1.95e-14  0.00e+00  0.00e+00  46
  202 ZYN          CRP          YN           Z                                        1.95e-14  0.00e+00  0.00e+00  46
  203 OCS          CRP          CO           S                                        6.96e-14  0.00e+00  0.00e+00  46
  204 OYS          CRP          YO           S                                        6.96e-14  0.00e+00  0.00e+00  46
  205 ZCS          CRP          CZ           S                                        6.96e-14  0.00e+00  0.00e+00  46
  206 ZYS          CRP          YZ           S                                        6.96e-14  0.00e+00  0.00e+00  46
  207 OCS          CRP          OCS+         E                                        1.87e-14  0.00e+00  0.00e+00  46
  208 OYS          CRP          OYS+         E                                        1.87e-14  0.00e+00  0.00e+00  46
  209 ZCS          CRP          ZCS+         E                                        1.87e-14  0.00e+00  0.00e+00  46
  210 ZYS          CRP          ZYS+         E                                        1.87e-14  0.00e+00  0.00e+00  46
  211 PH2          CRP          PH           H                                        1.95e-14  0.00e+00  0.00e+00  46
  212 SiC2         CRP          SiC          C                                        1.95e-14  0.00e+00  0.00e+00  46
  213 SiCY         CRP          SiY          C                                        9.75e-15  0.00e+00  0.00e+00  46
  214 SiCY         CRP          SiC          Y                                        9.75e-15  0.00e+00  0.00e+00  46
  215 SiY2         CRP          SiY          Y                                        1.95e-14  0.00e+00  0.00e+00  46
  216 SiH2         CRP          SiH          H                                        1.95e-14  0.00e+00  0.00e+00  46
  217 SiNC         CRP          Si           CN                                       1.95e-14  0.00e+00  0.00e+00  46
  218 SiNY         CRP          Si           YN                                       1.95e-14  0.00e+00  0.00e+00  46
  219 SiO2         CRP          SiO          O                                        1.95e-14  0.00e+00  0.00e+00  46
  220 SiOZ         CRP          SiZ          O                                        9.75e-15  0.00e+00  0.00e+00  46
  221 SiOZ         CRP          SiO          Z                                        9.75e-15  0.00e+00  0.00e+00  46
  222 SiZ2         CRP          SiZ          Z                                        1.95e-14  0.00e+00  0.00e+00  46
  223 SO2          CRP          SO           O                                        2.44e-14  0.00e+00  0.00e+00  46
  224 SOZ          CRP          SZ           O                                        1.22e-14  0.00e+00  0.00e+00  46
  225 SOZ          CRP          SO           Z                                        1.22e-14  0.00e+00  0.00e+00  46
  226 SZ2          CRP          SZ           Z                                        2.44e-14  0.00e+00  0.00e+00  46
  227 C2H2         CRP          C2H          H                                        6.69e-14  0.00e+00  0.00e+00  46
  228 CYH2         CRP          CYH          H                                        6.69e-14  0.00e+00  0.00e+00  46
  229 Y2H2         CRP          Y2H          H                                        6.69e-14  0.00e+00  0.00e+00  46
  230 C2H2         CRP          C2H2+        E                                        1.70e-14  0.00e+00  0.00e+00  46
  231 CYH2         CRP          CYH2+        E                                        1.70e-14  0.00e+00  0.00e+00  46
  232 Y2H2         CRP          Y2H2+        E                                        1.70e-14  0.00e+00  0.00e+00  46
  233 C3H          CRP          C3           H                                        6.50e-14  0.00e+00  0.00e+00  46
  234 C2YH         CRP          C2Y          H                                        6.50e-14  0.00e+00  0.00e+00  46
  235 CY2H         CRP          CY2          H                                        6.50e-14  0.00e+00  0.00e+00  46
  236 HC3          CRP          C3           H                                        6.50e-14  0.00e+00  0.00e+00  46
  237 HC2Y         CRP          C2Y          H                                        6.50e-14  0.00e+00  0.00e+00  46
  238 HCY2         CRP          CY2          H                                        6.50e-14  0.00e+00  0.00e+00  46
  239 C3N          CRP          C2           CN                                       2.28e-14  0.00e+00  0.00e+00  46
  240 C2YN         CRP          CY           CN                                       1.52e-14  0.00e+00  0.00e+00  46
  241 C2YN         CRP          C2           YN                                       7.60e-15  0.00e+00  0.00e+00  46
  242 CY2N         CRP          Y2           CN                                       7.60e-15  0.00e+00  0.00e+00  46
  243 CY2N         CRP          CY           YN                                       1.52e-14  0.00e+00  0.00e+00  46
  244 C3O          CRP          C2           CO                                       8.58e-14  0.00e+00  0.00e+00  46
  245 C2YO         CRP          CY           CO                                       5.72e-14  0.00e+00  0.00e+00  46
  246 C2YO         CRP          C2           YO                                       2.86e-14  0.00e+00  0.00e+00  46
  247 CY2O         CRP          Y2           CO                                       2.86e-14  0.00e+00  0.00e+00  46
  248 CY2O         CRP          CY           YO                                       5.72e-14  0.00e+00  0.00e+00  46
  249 C3Z          CRP          C2           CZ                                       8.58e-14  0.00e+00  0.00e+00  46
  250 C2YZ         CRP          CY           CZ                                       5.72e-14  0.00e+00  0.00e+00  46
  251 C2YZ         CRP          C2           YZ                                       2.86e-14  0.00e+00  0.00e+00  46
  252 CY2Z         CRP          Y2           CZ                                       2.86e-14  0.00e+00  0.00e+00  46
  253 CY2Z         CRP          CY           YZ                                       5.72e-14  0.00e+00  0.00e+00  46
  254 C3P          CRP          CCP          C                                        1.95e-14  0.00e+00  0.00e+00  46
  255 C2YP         CRP          YCP          C                                        6.50e-15  0.00e+00  0.00e+00  46
  256 C2YP         CRP          CYP          C                                        6.50e-15  0.00e+00  0.00e+00  46
  257 C2YP         CRP          CCP          Y                                        6.50e-15  0.00e+00  0.00e+00  46
  258 CY2P         CRP          YYP          C                                        6.50e-15  0.00e+00  0.00e+00  46
  259 CY2P         CRP          YCP          Y                                        6.50e-15  0.00e+00  0.00e+00  46
  260 CY2P         CRP          CYP          Y                                        6.50e-15  0.00e+00  0.00e+00  46
  261 C3S          CRP          C2           CS                                       1.95e-14  0.00e+00  0.00e+00  46
  262 C2YS         CRP          CY           CS                                       1.30e-14  0.00e+00  0.00e+00  46
  263 C2YS         CRP          C2           YS                                       6.50e-15  0.00e+00  0.00e+00  46
  264 CY2S         CRP          Y2           CS                                       6.50e-15  0.00e+00  0.00e+00  46
  265 CY2S         CRP          CY           YS                                       1.30e-14  0.00e+00  0.00e+00  46
  266 C4           CRP          C3           C                                        1.30e-14  0.00e+00  0.00e+00  46
  267 C3Y          CRP          C2Y          C                                        9.75e-15  0.00e+00  0.00e+00  46
  268 C3Y          CRP          C3           Y                                        3.25e-15  0.00e+00  0.00e+00  46
  269 C2Y2         CRP          CY2          C                                        6.50e-15  0.00e+00  0.00e+00  46
  270 C2Y2         CRP          C2Y          Y                                        6.50e-15  0.00e+00  0.00e+00  46
  271 CH3          CRP          CH2          H                                        6.50e-15  0.00e+00  0.00e+00  46
  272 YH3          CRP          YH2          H                                        6.50e-15  0.00e+00  0.00e+00  46
