Radius(AU)       0.1050
ZetaH2[s^-1]   1.3535e-18  1.3535e-18  1.3535e-18  1.3535e-18  1.3535e-18  1.3535e-18  1.3535e-18  1.3535e-18  1.3535e-18  1.3534e-18  1.3534e-18  1.3533e-18  1.3533e-18  1.3531e-18  1.3529e-18  1.3526e-18  1.3522e-18  1.3515e-18  1.3505e-18  1.3490e-18  1.3469e-18  1.3439e-18  1.3398e-18  1.3341e-18  1.3265e-18  1.3166e-18  1.3037e-18  1.2872e-18  1.2665e-18  1.2409e-18  1.2093e-18  1.1711e-18  1.1253e-18  1.0713e-18  1.0086e-18  9.3689e-19  8.5616e-19  7.6638e-19  6.6650e-19  5.2040e-19  3.6616e-19  2.6486e-19  2.0226e-19  1.6310e-19  1.3415e-19  1.1111e-19  9.5316e-20  8.6562e-20  8.1595e-20  8.1156e-20 
Radius(AU)      10.1585
z(AU)          0.0000e+00  1.2939e-05  1.6743e-05  2.1665e-05  2.8033e-05  3.6273e-05  4.6936e-05  6.0733e-05  7.8585e-05  1.0168e-04  1.3158e-04  1.7025e-04  2.2030e-04  2.8505e-04  3.6884e-04  4.7727e-04  6.1756e-04  7.9909e-04  1.0340e-03  1.3379e-03  1.7312e-03  2.2401e-03  2.8986e-03  3.7506e-03  4.8531e-03  6.2796e-03  8.1255e-03  1.0514e-02  1.3605e-02  1.7604e-02  2.2778e-02  2.9474e-02  3.8138e-02  4.9348e-02  6.3854e-02  8.2624e-02  1.0691e-01  1.3834e-01  1.7900e-01  2.3162e-01  2.9971e-01  3.8780e-01  5.0180e-01  6.4930e-01  8.4016e-01  1.0871e+00  1.4067e+00  1.8202e+00  2.3552e+00  3.0475e+00 
ZetaH2[s^-1]   1.3347e-18  1.3347e-18  1.3347e-18  1.3347e-18  1.3347e-18  1.3347e-18  1.3347e-18  1.3347e-18  1.3347e-18  1.3346e-18  1.3346e-18  1.3346e-18  1.3345e-18  1.3344e-18  1.3343e-18  1.3341e-18  1.3338e-18  1.3333e-18  1.3326e-18  1.3316e-18  1.3301e-18  1.3279e-18  1.3248e-18  1.3204e-18  1.3145e-18  1.3066e-18  1.2961e-18  1.2824e-18  1.2651e-18  1.2432e-18  1.2161e-18  1.1829e-18  1.1427e-18  1.0946e-18  1.0380e-18  9.7224e-19  8.9693e-19  8.1160e-19  7.1484e-19  5.7635e-19  4.0588e-19  2.9778e-19  2.2769e-19  1.8269e-19  1.4996e-19  1.2478e-19  1.0737e-19  9.7887e-20  9.2049e-20  9.1314e-20 
Radius(AU)      15.9204
z(AU)          0.0000e+00  1.3059e-05  1.7053e-05  2.2269e-05  2.9080e-05  3.7975e-05  4.9590e-05  6.4758e-05  8.4566e-05  1.1043e-04  1.4421e-04  1.8832e-04  2.4592e-04  3.2114e-04  4.1937e-04  5.4764e-04  7.1514e-04  9.3388e-04  1.2195e-03  1.5925e-03  2.0796e-03  2.7157e-03  3.5464e-03  4.6311e-03  6.0477e-03  7.8975e-03  1.0313e-02  1.3467e-02  1.7587e-02  2.2966e-02  2.9991e-02  3.9164e-02  5.1143e-02  6.6786e-02  8.7213e-02  1.1389e-01  1.4872e-01  1.9421e-01  2.5362e-01  3.3119e-01  4.3249e-01  5.6478e-01  7.3753e-01  9.6312e-01  1.2577e+00  1.6424e+00  2.1448e+00  2.8008e+00  3.6574e+00  4.7761e+00 
ZetaH2[s^-1]   1.2338e-18  1.2338e-18  1.2338e-18  1.2338e-18  1.2338e-18  1.2338e-18  1.2338e-18  1.2338e-18  1.2338e-18  1.2338e-18  1.2338e-18  1.2338e-18  1.2337e-18  1.2337e-18  1.2337e-18  1.2336e-18  1.2336e-18  1.2334e-18  1.2332e-18  1.2329e-18  1.2324e-18  1.2317e-18  1.2305e-18  1.2289e-18  1.2264e-18  1.2229e-18  1.2179e-18  1.2110e-18  1.2017e-18  1.1893e-18  1.1731e-18  1.1525e-18  1.1266e-18  1.0947e-18  1.0556e-18  1.0086e-18  9.5255e-19  8.8621e-19  8.0768e-19  7.1125e-19  5.1047e-19  3.9107e-19  3.0764e-19  2.4881e-19  2.0501e-19  1.7272e-19  1.4991e-19  1.3697e-19  1.2890e-19  1.2645e-19 
Radius(AU)      24.9507
z(AU)          0.0000e+00  1.3179e-05  1.7369e-05  2.2890e-05  3.0167e-05  3.9757e-05  5.2395e-05  6.9051e-05  9.1003e-05  1.1993e-04  1.5806e-04  2.0830e-04  2.7452e-04  3.6179e-04  4.7681e-04  6.2838e-04  8.2815e-04  1.0914e-03  1.4384e-03  1.8956e-03  2.4982e-03  3.2924e-03  4.3391e-03  5.7185e-03  7.5364e-03  9.9321e-03  1.3090e-02  1.7251e-02  2.2735e-02  2.9962e-02  3.9487e-02  5.2040e-02  6.8583e-02  9.0385e-02  1.1912e-01  1.5699e-01  2.0689e-01  2.7266e-01  3.5934e-01  4.7357e-01  6.2412e-01  8.2253e-01  1.0840e+00  1.4286e+00  1.8828e+00  2.4813e+00  3.2701e+00  4.3096e+00  5.6797e+00  7.4852e+00 
ZetaH2[s^-1]   1.0911e-18  1.0911e-18  1.0911e-18  1.0911e-18  1.0911e-18  1.0911e-18  1.0911e-18  1.0911e-18  1.0911e-18  1.0911e-18  1.0911e-18  1.0911e-18  1.0911e-18  1.0911e-18  1.0911e-18  1.0911e-18  1.0910e-18  1.0910e-18  1.0909e-18  1.0909e-18  1.0907e-18  1.0905e-18  1.0901e-18  1.0896e-18  1.0887e-18  1.0873e-18  1.0853e-18  1.0823e-18  1.0779e-18  1.0717e-18  1.0629e-18  1.0510e-18  1.0352e-18  1.0148e-18  9.8878e-19  9.5648e-19  9.1692e-19  8.6898e-19  8.1111e-19  7.3986e-19  5.7107e-19  4.4216e-19  3.5844e-19  2.9440e-19  2.4616e-19  2.1104e-19  1.8500e-19  1.6864e-19  1.5886e-19  1.5386e-19 
Radius(AU)      31.2353
z(AU)          0.0000e+00  1.3240e-05  1.7529e-05  2.3207e-05  3.0725e-05  4.0678e-05  5.3856e-05  7.1303e-05  9.4402e-05  1.2498e-04  1.6547e-04  2.1908e-04  2.9005e-04  3.8401e-04  5.0842e-04  6.7312e-04  8.9118e-04  1.1799e-03  1.5621e-03  2.0682e-03  2.7381e-03  3.6252e-03  4.7996e-03  6.3544e-03  8.4129e-03  1.1138e-02  1.4747e-02  1.9524e-02  2.5849e-02  3.4222e-02  4.5309e-02  5.9987e-02  7.9420e-02  1.0515e-01  1.3921e-01  1.8431e-01  2.4402e-01  3.2307e-01  4.2773e-01  5.6629e-01  7.4974e-01  9.9262e-01  1.3142e+00  1.7399e+00  2.3036e+00  3.0498e+00  4.0378e+00  5.3459e+00  7.0777e+00  9.3706e+00 
ZetaH2[s^-1]   1.0128e-18  1.0128e-18  1.0128e-18  1.0128e-18  1.0128e-18  1.0128e-18  1.0128e-18  1.0128e-18  1.0128e-18  1.0128e-18  1.0128e-18  1.0128e-18  1.0128e-18  1.0128e-18  1.0128e-18  1.0127e-18  1.0127e-18  1.0127e-18  1.0127e-18  1.0126e-18  1.0126e-18  1.0125e-18  1.0123e-18  1.0119e-18  1.0114e-18  1.0106e-18  1.0094e-18  1.0076e-18  1.0047e-18  1.0006e-18  9.9454e-19  9.8601e-19  9.7423e-19  9.5840e-19  9.3770e-19  9.1130e-19  8.7838e-19  8.3801e-19  7.8894e-19  7.2843e-19  5.9029e-19  4.5099e-19  3.6856e-19  3.0269e-19  2.5477e-19  2.2066e-19  1.9475e-19  1.7757e-19  1.6709e-19  1.6076e-19 
Radius(AU)      39.1029
z(AU)          0.0000e+00  1.3300e-05  1.7690e-05  2.3528e-05  3.1294e-05  4.1622e-05  5.5358e-05  7.3629e-05  9.7929e-05  1.3025e-04  1.7324e-04  2.3041e-04  3.0645e-04  4.0760e-04  5.4212e-04  7.2104e-04  9.5901e-04  1.2755e-03  1.6965e-03  2.2564e-03  3.0011e-03  3.9915e-03  5.3089e-03  7.0611e-03  9.3915e-03  1.2491e-02  1.6613e-02  2.2097e-02  2.9389e-02  3.9089e-02  5.1990e-02  6.9148e-02  9.1970e-02  1.2232e-01  1.6269e-01  2.1639e-01  2.8781e-01  3.8279e-01  5.0913e-01  6.7716e-01  9.0065e-01  1.1979e+00  1.5932e+00  2.1191e+00  2.8185e+00  3.7486e+00  4.9858e+00  6.6314e+00  8.8200e+00  1.1731e+01 
