# 6066
# 5976
# First number is number of lines in the file 
# Second number is the number of reactions
# alpha values increased by 1e12 since I treat GRAIN- and GRAIN0 as separate species
  162 C6           CRP          C5           C                                        1.30e-14  0.00e+00  0.00e+00  46
  163 CH3OH        CRP          CH3          OH                                       1.95e-14  0.00e+00  0.00e+00  46
  164 CH3OH        CRP          H2CO         H2                                       4.12e-14  0.00e+00  0.00e+00  46
  165 CH3OH        CRP          H3CO+        H            E                           1.29e-15  0.00e+00  0.00e+00  46
  166 CH3OH        CRP          CH4O+        E                                        1.87e-14  0.00e+00  0.00e+00  46
  167 C2H4O        CRP          CH3          HCO                                      6.83e-15  0.00e+00  0.00e+00  46
  168 C2H4O        CRP          CH4          CO                                       6.83e-15  0.00e+00  0.00e+00  46
  169 C2H4O        CRP          C2H4O+       E                                        1.46e-14  0.00e+00  0.00e+00  46
  170 C2H5         CRP          C2H4         H                                        1.95e-14  0.00e+00  0.00e+00  46
  171 C3H3N        CRP          C2H3         CN                                       1.95e-14  0.00e+00  0.00e+00  46
  172 C3H4         CRP          C3H3         H                                        4.26e-14  0.00e+00  0.00e+00  46
  173 C3H4         CRP          C3H4+        E                                        6.89e-14  0.00e+00  0.00e+00  46
  174 C5H2         CRP          C5H          H                                        2.28e-14  0.00e+00  0.00e+00  46
  175 C6H          CRP          C6           H                                        6.50e-14  0.00e+00  0.00e+00  46
  176 C7           CRP          C6           C                                        1.30e-14  0.00e+00  0.00e+00  46
  177 CH5N         CRP          HCN          H2           H            H              1.83e-14  0.00e+00  0.00e+00  46
  178 CH5N         CRP          CH5N+        E                                        1.46e-14  0.00e+00  0.00e+00  46
  179 HC5N         CRP          C4H          CN                                       2.28e-14  0.00e+00  0.00e+00  46
  180 C6H2         CRP          C6H          H                                        2.28e-14  0.00e+00  0.00e+00  46
  181 C7H          CRP          C7           H                                        6.50e-14  0.00e+00  0.00e+00  46
  182 C7N          CRP          C6           CN                                       2.28e-14  0.00e+00  0.00e+00  46
  183 C8           CRP          C7           C                                        1.30e-14  0.00e+00  0.00e+00  46
  184 CH3C3N       CRP          CH3          C3N                                      1.95e-14  0.00e+00  0.00e+00  46
  185 HCOOCH3      CRP          H2CO         H2CO                                     1.95e-14  0.00e+00  0.00e+00  46
  186 C2H5OH       CRP          C2H5OH+      E                                        3.56e-14  0.00e+00  0.00e+00  46
  187 C7H2         CRP          C7H          H                                        2.28e-14  0.00e+00  0.00e+00  46
  188 C8H          CRP          C8           H                                        6.50e-14  0.00e+00  0.00e+00  46
  189 C9           CRP          C8           C                                        1.30e-14  0.00e+00  0.00e+00  46
  190 CH3C4H       CRP          CH3          C4H                                      1.95e-14  0.00e+00  0.00e+00  46
  191 CH3OCH3      CRP          H2CO         CH4                                      2.24e-14  0.00e+00  0.00e+00  46
  192 CH3OCH3      CRP          CH3OCH3+     E                                        1.46e-14  0.00e+00  0.00e+00  46
  193 HC7N         CRP          C6H          CN                                       2.28e-14  0.00e+00  0.00e+00  46
  194 C2H6CO       CRP          C2H2O        CH4                                      1.95e-14  0.00e+00  0.00e+00  46
  195 C8H2         CRP          C8H          H                                        2.28e-14  0.00e+00  0.00e+00  46
  196 C9H          CRP          C9           H                                        6.50e-14  0.00e+00  0.00e+00  46
  197 C9N          CRP          C8           CN                                       2.28e-14  0.00e+00  0.00e+00  46
  198 CH3C5N       CRP          CH3          C5N                                      1.95e-14  0.00e+00  0.00e+00  46
  199 C9H2         CRP          C9H          H                                        2.28e-14  0.00e+00  0.00e+00  46
  200 CH3C6H       CRP          CH3          C6H                                      1.95e-14  0.00e+00  0.00e+00  46
  201 CH3C7N       CRP          CH3          C7N                                      1.95e-14  0.00e+00  0.00e+00  46
  202 HC9N         CRP          C8H          CN                                       2.28e-14  0.00e+00  0.00e+00  46
  203 CH+          CRP          C            H+                                       2.29e-15  0.00e+00  0.00e+00  46
  204 C+           Fe           Fe+          C                                        2.60e-09  0.00e+00  0.00e+00   2
  205 C+           Mg           Mg+          C                                        1.10e-09  0.00e+00  0.00e+00   2
  206 C+           Na           Na+          C                                        1.10e-09  0.00e+00  0.00e+00   2
  207 C+           P            P+           C                                        1.00e-09  0.00e+00  0.00e+00   2
  208 C+           S            S+           C                                        1.50e-09  0.00e+00  0.00e+00   2
  209 C+           Si           Si+          C                                        2.10e-09  0.00e+00  0.00e+00   2
  210 C+           CCl          CCl+         C                                        1.93e-09 -5.00e-01  0.00e+00   2
