# 15762
# 15711
# First number is number of lines in the file 
# Second number is the number of reactions
  110 HDO          CRP          OH           D                                        6.30E-15  0.00E+00  0.00E+00  46
  111 D2O          CRP          OD           D                                        1.26E-14  0.00E+00  0.00E+00  46
  112 H2S          CRP          H2           S                                        6.69E-14  0.00E+00  0.00E+00  46
  113 HDS          CRP          HD           S                                        6.69E-14  0.00E+00  0.00E+00  46
  114 D2S          CRP          D2           S                                        6.69E-14  0.00E+00  0.00E+00  46
  115 H2S          CRP          H2S+         E                                        2.21E-14  0.00E+00  0.00E+00  46
  116 HDS          CRP          HDS+         E                                        2.21E-14  0.00E+00  0.00E+00  46
  117 D2S          CRP          D2S+         E                                        2.21E-14  0.00E+00  0.00E+00  46
  118 HCN          CRP          CN           H                                        4.06E-14  0.00E+00  0.00E+00  46
  119 DCN          CRP          CN           D                                        4.06E-14  0.00E+00  0.00E+00  46
  120 HCO          CRP          CO           H                                        5.47E-15  0.00E+00  0.00E+00  46
  121 DCO          CRP          CO           D                                        5.47E-15  0.00E+00  0.00E+00  46
  122 HCO          CRP          HCO+         E                                        1.52E-14  0.00E+00  0.00E+00  46
  123 DCO          CRP          DCO+         E                                        1.52E-14  0.00E+00  0.00E+00  46
  124 HCP          CRP          CP           H                                        1.95E-14  0.00E+00  0.00E+00  46
  125 DCP          CRP          CP           D                                        1.95E-14  0.00E+00  0.00E+00  46
  126 HCS          CRP          HCS+         E                                        1.95E-14  0.00E+00  0.00E+00  46
  127 DCS          CRP          DCS+         E                                        1.95E-14  0.00E+00  0.00E+00  46
  128 HCSi         CRP          CH           Si                                       1.95E-14  0.00E+00  0.00E+00  46
  129 DCSi         CRP          CD           Si                                       1.95E-14  0.00E+00  0.00E+00  46
  130 HNC          CRP          CN           H                                        3.90E-14  0.00E+00  0.00E+00  46
  131 DNC          CRP          CN           D                                        3.90E-14  0.00E+00  0.00E+00  46
  132 HNO          CRP          HNO+         E                                        1.30E-14  0.00E+00  0.00E+00  46
  133 DNO          CRP          DNO+         E                                        1.30E-14  0.00E+00  0.00E+00  46
  134 HNSi         CRP          SiN          H                                        1.95E-14  0.00E+00  0.00E+00  46
  135 DNSi         CRP          SiN          D                                        1.95E-14  0.00E+00  0.00E+00  46
  136 HPO          CRP          PO           H                                        1.95E-14  0.00E+00  0.00E+00  46
  137 DPO          CRP          PO           D                                        1.95E-14  0.00E+00  0.00E+00  46
  138 HS2          CRP          HS           S                                        1.95E-14  0.00E+00  0.00E+00  46
  139 DS2          CRP          DS           S                                        1.95E-14  0.00E+00  0.00E+00  46
  140 N2O          CRP          NO           N                                        1.95E-14  0.00E+00  0.00E+00  46
  141 NaOH         CRP          Na           OH                                       1.95E-14  0.00E+00  0.00E+00  46
  142 NaOD         CRP          Na           OD                                       1.95E-14  0.00E+00  0.00E+00  46
  143 NH2          CRP          NH           H                                        1.04E-15  0.00E+00  0.00E+00  46
  144 NHD          CRP          ND           H                                        5.20E-16  0.00E+00  0.00E+00  46
  145 NHD          CRP          NH           D                                        5.20E-16  0.00E+00  0.00E+00  46
  146 ND2          CRP          ND           D                                        1.04E-15  0.00E+00  0.00E+00  46
  147 NH2          CRP          NH2+         E                                        8.45E-15  0.00E+00  0.00E+00  46
  148 NHD          CRP          NHD+         E                                        8.45E-15  0.00E+00  0.00E+00  46
  149 ND2          CRP          ND2+         E                                        8.45E-15  0.00E+00  0.00E+00  46
  150 NO2          CRP          NO           O                                        1.95E-14  0.00E+00  0.00E+00  46
  151 O2H          CRP          O            OH                                       9.75E-15  0.00E+00  0.00E+00  46
  152 O2D          CRP          O            OD                                       9.75E-15  0.00E+00  0.00E+00  46
  153 O2H          CRP          O2           H                                        9.75E-15  0.00E+00  0.00E+00  46
