# Numerical radiation field:  Lyman-alpha_100km.s-1
# wavelength: nm
# intensity: photons.s-1.cm-2.nm-1
# wavelength intensity
120.34400 8.24309e+01
120.34500 8.25661e+01
120.34600 8.27016e+01
120.34700 8.28375e+01
120.34800 8.29737e+01
120.34900 8.31102e+01
120.35000 8.32471e+01
120.35100 8.33843e+01
120.35200 8.35218e+01
120.35300 8.36597e+01
120.35400 8.37979e+01
120.35500 8.39365e+01
120.35600 8.40754e+01
120.35700 8.42147e+01
120.35800 8.43543e+01
120.35900 8.44943e+01
120.36000 8.46346e+01
120.36100 8.47752e+01
120.36200 8.49162e+01
120.36300 8.50576e+01
120.36400 8.51993e+01
120.36500 8.53414e+01
120.36600 8.54838e+01
120.36700 8.56266e+01
120.36800 8.57697e+01
120.36900 8.59132e+01
120.37000 8.60570e+01
120.37100 8.62013e+01
120.37200 8.63458e+01
120.37300 8.64908e+01
120.37400 8.66361e+01
120.37500 8.67818e+01
120.37600 8.69278e+01
120.37700 8.70742e+01
120.37800 8.72210e+01
120.37900 8.73682e+01
120.38000 8.75157e+01
120.38100 8.76636e+01
120.38200 8.78119e+01
120.38300 8.79606e+01
120.38400 8.81096e+01
120.38500 8.82590e+01
120.38600 8.84088e+01
120.38700 8.85590e+01
120.38800 8.87095e+01
120.38900 8.88605e+01
120.39000 8.90118e+01
120.39100 8.91635e+01
120.39200 8.93156e+01
120.39300 8.94681e+01
120.39400 8.96210e+01
120.39500 8.97743e+01
120.39600 8.99280e+01
120.39700 9.00820e+01
120.39800 9.02365e+01
120.39900 9.03914e+01
120.40000 9.05466e+01
120.40100 9.07023e+01
120.40200 9.08584e+01
120.40300 9.10148e+01
120.40400 9.11717e+01
120.40500 9.13290e+01
120.40600 9.14867e+01
120.40700 9.16448e+01
120.40800 9.18033e+01
120.40900 9.19622e+01
120.41000 9.21215e+01
120.41100 9.22813e+01
120.41200 9.24414e+01
120.41300 9.26020e+01
120.41400 9.27630e+01
120.41500 9.29244e+01
120.41600 9.30863e+01
120.41700 9.32485e+01
120.41800 9.34112e+01
120.41900 9.35743e+01
120.42000 9.37379e+01
120.42100 9.39018e+01
120.42200 9.40662e+01
120.42300 9.42311e+01
120.42400 9.43963e+01
120.42500 9.45621e+01
120.42600 9.47282e+01
120.42700 9.48948e+01
120.42800 9.50618e+01
120.42900 9.52293e+01
120.43000 9.53972e+01
