# R [arcsec], Z [arcsec], Temperature [K]
1.060560, 0.349635, 34.835329
1.064350, 0.549426, 34.529842
1.073980, 0.462017, 33.998083
1.075912, 0.349635, 34.305262
1.081869, 0.549426, 33.897106
1.086319, 0.299687, 33.597572
1.091415, 0.349635, 33.804854
1.091711, 0.462017, 34.271058
1.099473, 0.549426, 33.295164
1.105650, 0.337148, 31.847166
1.107062, 0.349635, 33.217693
1.111540, 0.287200, 33.893215
1.117157, 0.549426, 32.793683
1.117157, 0.449530, 34.540353
1.121649, 0.374609, 33.373052
1.123353, 0.287200, 34.003782
1.130472, 0.349635, 31.413636
1.134919, 0.549426, 32.442050
1.135395, 0.287200, 33.868300
1.142631, 0.462017, 34.778169
1.144990, 0.636835, 30.248917
1.145353, 0.536939, 32.339181
1.147351, 0.387096, 33.005567
1.151771, 0.649322, 29.822866
1.160347, 0.462017, 35.028769
1.160523, 0.387096, 33.348361
1.160824, 0.299687, 33.574026
1.163371, 0.536939, 32.295914
1.168322, 0.649322, 29.427923
1.173888, 0.387096, 33.846020
1.178137, 0.462017, 35.171636
1.180817, 0.561913, 31.614693
1.181454, 0.536939, 32.269226
1.184979, 0.649322, 29.386716
1.186592, 0.699269, 30.544998
1.190828, 0.711756, 30.309273
1.199704, 0.399582, 34.228865
1.201739, 0.649322, 29.307182
1.203548, 0.474504, 35.103152
1.213922, 0.486991, 32.274262
1.221363, 0.474504, 34.990944
1.227600, 0.636835, 29.135584
1.231911, 0.486991, 34.763121
1.232375, 0.811652, 34.361690
1.239245, 0.474504, 32.155074
1.253470, 0.624348, 28.875724
1.254946, 0.449530, 31.199275
1.258680, 0.786678, 34.366294
1.264598, 0.437043, 32.131847
1.265105, 0.424556, 31.340259
1.275496, 0.424556, 31.606390
1.281826, 0.774191, 34.224142
1.282501, 0.437043, 32.186902
1.288197, 0.474504, 34.469441
1.297954, 0.586887, 28.562703
1.300465, 0.437043, 32.384822
1.305081, 0.761704, 33.897936
1.313825, 0.486991, 33.265276
1.314419, 0.424556, 31.784814
1.317145, 0.586887, 30.800509
1.320942, 0.611861, 30.927387
1.323895, 0.574400, 30.778906
1.333443, 0.586887, 28.234289
1.333768, 0.486991, 33.227061
1.336847, 0.299687, 37.453094
1.339155, 0.437043, 32.001731
1.340410, 0.549426, 30.722527
1.341285, 0.711756, 33.377375
1.349865, 0.462017, 32.347802
1.353712, 0.486991, 33.284988
1.355861, 0.299687, 37.341045
1.360785, 0.462017, 32.775185
1.366335, 0.536939, 30.610731
1.369119, 0.586887, 27.986887
1.371910, 0.462017, 33.026012
1.378355, 0.511965, 33.653048
1.379643, 0.511965, 32.320142
1.380065, 0.287200, 37.186299
1.381194, 0.474504, 32.789893
1.383234, 0.462017, 33.032623
1.391640, 0.511965, 32.937869
1.392265, 0.499478, 30.686822
1.392707, 0.724243, 33.331094
1.394960, 0.649322, 30.517303
1.395110, 0.599374, 27.783126
1.398100, 0.424556, 33.244758
1.399063, 0.287200, 36.949911
1.399597, 0.486991, 30.650376
1.405084, 0.511965, 32.115131
1.411358, 0.599374, 27.617978
1.414836, 0.599374, 33.145576
1.416803, 0.511965, 33.809267
1.418090, 0.287200, 36.639611
1.421007, 0.661808, 30.239486
1.425483, 0.474504, 30.602502
1.430913, 0.524452, 31.251501
1.433203, 0.462017, 30.398462
1.436226, 0.586887, 32.986174
1.441353, 0.474504, 30.055604
1.442274, 0.299687, 36.238801
1.444546, 0.524452, 30.893858
1.445230, 0.536939, 32.169173
1.447055, 0.649322, 30.070887
1.456140, 0.586887, 32.988878
1.458458, 0.474504, 29.828583
1.462179, 0.649322, 29.978111
1.470511, 0.549426, 32.232590
1.471704, 0.774191, 30.238281
1.476057, 0.586887, 32.852609
1.482596, 0.524452, 30.866477
1.493024, 0.786678, 30.685235
1.496292, 0.524452, 30.750806
1.498948, 0.437043, 33.397390
1.499096, 0.774191, 30.887220
1.500600, 0.449530, 33.986488
1.509272, 0.549426, 32.216584
1.509371, 0.449530, 33.941434
1.513427, 0.686782, 28.061952
1.513667, 0.474504, 29.676310
1.513762, 0.462017, 32.661529
