# R [arcsec], Z [arcsec], Temperature [K]
1.294463, 0.099896, 18.184952
1.295346, 0.237252, 16.198869
1.297954, 0.287200, 16.827955
1.298341, 0.249739, 15.817568
1.305574, 0.212278, 16.567553
1.308334, 0.212278, 17.012864
1.311010, 0.112383, 18.499075
1.313046, 0.249739, 15.453783
1.313735, 0.249739, 18.878785
1.314490, 0.287200, 16.914231
1.317165, 0.237252, 16.319523
1.318384, 0.237252, 16.589832
1.327889, 0.249739, 15.089878
1.328660, 0.237252, 16.216254
1.330694, 0.112383, 18.879320
1.331121, 0.287200, 16.929012
1.331921, 0.262226, 14.774687
1.336449, 0.249739, 14.735804
1.336745, 0.237252, 18.773325
1.339155, 0.237252, 15.784437
1.339501, 0.262226, 14.350466
1.342419, 0.249739, 16.258458
1.349865, 0.237252, 15.360391
1.350388, 0.112383, 19.189509
1.351923, 0.249739, 14.644687
1.353267, 0.212278, 17.078781
1.355955, 0.012487, 19.157228
1.357972, 0.299687, 15.123762
1.359864, 0.224765, 18.784706
1.360785, 0.237252, 14.978544
1.367340, 0.099896, 19.416941
1.367783, 0.224765, 18.770311
1.371910, 0.237252, 14.621557
1.375947, 0.224765, 18.707261
1.377974, 0.262226, 14.627914
1.378014, 0.262226, 14.261657
1.381194, 0.024974, 18.948539
1.383219, 0.274713, 14.467830
1.383234, 0.237252, 14.248613
1.386172, 0.237252, 17.117935
1.387090, 0.099896, 19.386246
1.391767, 0.262226, 16.116466
1.396235, 0.237252, 16.770218
1.399475, 0.212278, 18.740874
1.402212, 0.024974, 17.938796
1.402212, 0.324661, 18.537274
1.403599, 0.249739, 14.336088
1.404368, 0.087409, 19.213669
1.406511, 0.237252, 16.368638
1.409260, 0.287200, 14.363518
1.410075, 0.324661, 14.594321
1.413240, 0.012487, 18.383261
1.413294, 0.349635, 17.566927
1.413649, 0.224765, 15.530978
1.416803, 0.237252, 18.420376
1.416994, 0.237252, 15.938583
1.419225, 0.349635, 17.360633
1.419609, 0.349635, 14.980930
1.419853, 0.087409, 19.151300
1.423091, 0.224765, 18.625224
1.423674, 0.037461, 17.268189
1.425809, 0.237252, 18.391621
1.429201, 0.237252, 14.363950
1.435037, 0.237252, 18.350243
1.435301, 0.349635, 15.468005
1.439716, 0.287200, 22.457484
1.439716, 0.087409, 19.145580
1.442017, 0.237252, 14.293674
1.451099, 0.349635, 15.855636
1.454996, 0.237252, 14.115855
1.455641, 0.224765, 14.094990
1.457767, 0.074922, 19.058298
1.457767, 0.074922, 11.576685
1.459583, 0.262226, 21.315289
1.467000, 0.349635, 16.094120
1.477662, 0.249739, 20.068275
1.479453, 0.062435, 10.722596
1.481431, 0.049948, 19.004391
1.482596, 0.374609, 14.901854
1.493024, 0.362122, 16.106111
1.495976, 0.212278, 18.947900
1.498173, 0.262226, 14.110905
1.506432, 0.337148, 15.158965
1.508448, 0.387096, 14.631551
1.509014, 0.362122, 16.161507
1.510129, 0.399582, 14.579126
1.512258, 0.262226, 13.871064
1.514517, 0.199791, 18.052370
1.516798, 0.099896, 19.041246
1.520804, 0.274713, 16.941716
1.523470, 0.199791, 20.054287
1.533277, 0.187304, 17.241294
1.535029, 0.374609, 16.087695
1.536039, 0.412069, 14.588826
1.536450, 0.099896, 19.082068
1.538210, 0.274713, 13.594860
1.542737, 0.287200, 16.327250
1.543863, 0.274713, 13.034054
