#um    star(nufnu) model
1.322875656000000077e+01 2.655151613141583752e-12 5.091033959476752435e-11
1.356987552000000008e+01 2.459907672238529860e-12 4.988944274469346662e-11
1.391979062999999961e+01 2.279020800410864179e-12 4.901931879648786554e-11
1.427872872000000015e+01 2.111435263970460789e-12 4.844647184626119080e-11
1.464692244000000088e+01 1.956172966113295590e-12 4.886777509743981139e-11
1.502461047000000072e+01 1.812327726078757531e-12 4.920251323239043345e-11
1.541203763000000038e+01 1.679060002787219725e-12 4.976758008155733811e-11
1.580945503999999957e+01 1.555591991049805991e-12 5.051550016410753209e-11
1.621712034000000102e+01 1.441203075274993444e-12 5.124749370540653800e-11
1.663529774999999944e+01 1.335225636262410639e-12 5.166480266857093909e-11
1.706425837000000101e+01 1.237041142124886154e-12 5.219769562289825838e-11
1.750428022999999911e+01 1.146076548392860294e-12 5.275381336596884903e-11
1.795564857000000103e+01 1.061800945723789983e-12 5.324821922531630513e-11
1.841865598000000048e+01 9.837224652298973444e-13 5.386475735923669623e-11
1.889360256999999876e+01 9.113854089634928849e-13 5.421530072641548883e-11
1.938079620999999975e+01 8.443675868418605782e-13 5.459093915771804419e-11
1.988055270999999991e+01 7.822778533604750029e-13 5.502479916695135481e-11
2.039319602000000131e+01 7.247538265966295349e-13 5.533119841437553777e-11
2.091905842999999976e+01 6.714597725943976439e-13 5.583412913257708508e-11
2.145848082999999917e+01 6.220846437161850198e-13 5.642208945830003371e-11
2.201181285999999915e+01 5.763402662382395133e-13 5.732294565027381105e-11
2.257941320000000118e+01 5.339596560847233988e-13 5.826158103534294845e-11
2.316164978000000119e+01 4.946954621518573389e-13 5.970255116990428446e-11
2.375890001999999868e+01 4.583185215969991211e-13 6.138475751606682868e-11
2.437155105000000077e+01 4.246165234486775654e-13 6.321800089556911207e-11
2.500000000000000000e+01 3.933927683855826991e-13 6.532856063018896298e-11
3.073733534000000134e+01 2.116643671422002499e-13 8.103620040332998620e-11
3.779135136000000017e+01 1.138856834891829047e-13 9.305311834299353776e-11
4.646421758999999696e+01 6.127601486728038452e-14 1.036291174652374694e-10
5.712744949999999733e+01 3.296946447968618392e-14 1.086304023261216854e-10
7.023782289999999762e+01 1.773916907820570752e-14 1.059757272706703380e-10
8.635694064999999853e+01 9.544532331038703487e-15 9.838240487056550423e-11
1.061752898000000016e+02 5.135420771642823339e-15 8.841677441059404058e-11
1.305418194000000085e+02 2.763105160937883564e-15 7.671239888215860390e-11
1.605003072000000088e+02 1.486684433581973536e-15 6.484831110329458142e-11
1.973340705999999898e+02 7.999082470926298970e-16 5.309084414549869511e-11
2.426209401000000128e+02 4.303893880153231301e-16 4.054450003440966936e-11
2.983008479000000079e+02 2.315703407214003525e-16 2.914762735459700411e-11
3.667589277999999808e+02 1.245960616286383816e-16 1.945842346750402001e-11
4.509276861999999824e+02 6.703871713539142062e-17 1.182445802599820339e-11
5.544126201999999921e+02 3.607007748058962579e-17 6.627636144900596736e-12
6.816466649999999845e+02 1.940744907959642242e-17 3.494144965390543402e-12
8.380800851000000193e+02 1.044214779267010601e-17 1.779747969483953766e-12
1.030413945000000012e+03 5.618381375542173674e-18 8.580141777578904232e-13
